accuracy,type,biome,class,threshold,pixelcount,share_class_tar,share_area,weighted
0.9643381028924785,OA,Halobioma Alta Guajira,overall,20,569235,1,3.802490038826794e-4,3.6668860303097774e-4
0.882018351665789,OA,Halobioma Cartagena y delta del Magdalena,overall,20,2533394,1,0.0016923072982904367,0.0014926460937501158
0.7468353115161759,OA,Halobioma Darién –Tacarcuna,overall,65,288733,1,1.928736561140086e-4,1.440448570471694e-4
0.9163336016041687,OA,Halobioma Estribación norte Sierra Nevada de Santa Marta,overall,65,146618,1,9.794083015146766e-5,8.974647363679651e-5
0.935496656418003,OA,Halobioma Micay,overall,20,1122748,1,7.499957111057307e-4,7.016184800672535e-4
0.7725645464966413,OA,Halobioma Pacífico nariñense-Tumaco,overall,70,2693872,1,0.0017995066090234111,0.0013902350073178803
0.9068455856339924,OA,Halobioma San Juan,overall,20,1503772,1,0.001004519759091877,9.109443092145901e-4
0.9156670301708469,OA,Halobioma Sierra nevada de Santa Marta,overall,20,2751,1,1.837668115420259e-6,1.6826921056865258e-6
0.8913818866695306,OA,Halobioma Sinú,overall,60,914829,1,6.111058103823337e-4,5.447286502133171e-4
0.730391557674286,OA,Halobioma Truandó,overall,80,24543,1,1.6394725029719888e-5,1.1974568752098714e-5
0.930981221147914,OA,Helobioma Altillanura,overall,20,38045776,1,0.02541457996423894,0.023660496690068478
0.9089748276863192,OA,Helobioma Alto Caquetá,overall,90,1859980,1,0.0012424667180368496,0.001129370970933532
0.9445294610050667,OA,Helobioma Alto Guayabero,overall,80,1987848,1,0.001327882547401647,0.0012542241867753126
0.8995017471204866,OA,Helobioma Alto Murrí,overall,20,154540,1,1.0323272648384108e-4,9.285801783222638e-5
0.8539759002421172,OA,Helobioma Alto Putumayo,overall,90,3572650,1,0.002386530349893198,0.002038039404005179
0.9963332711100552,OA,Helobioma Altoandino cordillera oriental,overall,90,824986,1,0.00055109068261290355,5.490699824859874e-4
0.974127853983728,OA,Helobioma Apaporis,overall,75,7131260,1,0.0047636819791973374,0.0046404353034564605
0.9793460548391083,OA,Helobioma Arauca,overall,20,19097320,1,0.01275701056124232,0.012493527964693505
